Variant,Expression,Promoter,Kozaks,Terminators
1,1761.07,1,1,1
2,7884.53,2,1,1
3,728.73,3,1,1
4,1093.82,4,1,1
5,3212.27,5,1,1
6,868.79,6,1,1
7,787.59,7,1,1
8,887.35,8,1,1
9,1491.84,1,2,1
10,3607.93,2,2,1
11,903.73,3,2,1
12,985.57,4,2,1
13,1585.48,5,2,1
14,775.57,6,2,1
15,766.28,7,2,1
16,980.73,8,2,1
17,3502.28,1,3,1
18,15566.93,2,3,1
19,1008.59,3,3,1
20,1155.51,4,3,1
21,7701.99,5,3,1
22,782.11,6,3,1
23,914.65,7,3,1
24,1021.02,8,3,1
25,3163.16,1,4,1
26,15947.53,2,4,1
27,848.43,3,4,1
28,1137.10,4,4,1
29,6822.80,5,4,1
30,1109.57,6,4,1
31,1133.95,7,4,1
32,1748.94,8,4,1
33,984.98,1,5,1
34,2057.44,2,5,1
35,754.84,3,5,1
36,759.71,4,5,1
37,1116.81,5,5,1
38,737.46,6,5,1
39,705.00,7,5,1
40,906.14,8,5,1
41,2776.58,1,6,1
42,13111.82,2,6,1
43,940.10,3,6,1
44,1008.29,4,6,1
45,6631.30,5,6,1
46,971.18,6,6,1
47,1278.03,7,6,1
48,1338.09,8,6,1
49,1259.37,1,1,2
50,6758.27,2,1,2
51,808.00,3,1,2
52,828.36,4,1,2
53,2063.20,5,1,2
54,731.11,6,1,2
55,829.29,7,1,2
56,997.84,8,1,2
57,1321.61,1,2,2
58,3445.06,2,2,2
59,819.42,3,2,2
60,797.99,4,2,2
61,1363.32,5,2,2
62,768.93,6,2,2
63,754.44,7,2,2
64,883.33,8,2,2
65,3204.23,1,3,2
66,11905.41,2,3,2
67,688.46,3,3,2
68,1002.38,4,3,2
69,4286.34,5,3,2
70,783.83,6,3,2
71,833.95,7,3,2
72,1036.75,8,3,2
73,2303.51,1,4,2
74,12773.58,2,4,2
75,957.74,3,4,2
76,931.61,4,4,2
77,4018.37,5,4,2
78,1090.45,6,4,2
79,965.43,7,4,2
80,1861.53,8,4,2
81,1309.13,1,5,2
82,1877.22,2,5,2
83,790.78,3,5,2
84,748.80,4,5,2
85,1020.72,5,5,2
86,714.14,6,5,2
87,800.17,7,5,2
88,760.44,8,5,2
89,2104.14,1,6,2
90,10075.19,2,6,2
91,868.85,3,6,2
92,1091.97,4,6,2
93,4722.83,5,6,2
94,812.79,6,6,2
95,1281.05,7,6,2
96,1342.02,8,6,2
97,1254.83,1,1,3
98,3065.40,2,1,3
99,858.15,3,1,3
100,815.48,4,1,3
101,1294.70,5,1,3
102,689.90,6,1,3
103,751.47,7,1,3
104,764.22,8,1,3
105,783.59,1,2,3
106,1876.53,2,2,3
107,820.90,3,2,3
108,829.43,4,2,3
109,1120.34,5,2,3
110,738.03,6,2,3
111,775.27,7,2,3
112,1068.04,8,2,3
113,1648.43,1,3,3
114,5167.33,2,3,3
115,782.78,3,3,3
116,850.64,4,3,3
117,2581.02,5,3,3
118,901.19,6,3,3
119,734.29,7,3,3
120,780.38,8,3,3
121,1145.10,1,4,3
122,5689.94,2,4,3
123,811.62,3,4,3
124,905.61,4,4,3
125,3335.43,5,4,3
126,742.87,6,4,3
127,1115.90,7,4,3
128,847.64,8,4,3
129,872.37,1,5,3
130,1184.03,2,5,3
131,774.87,3,5,3
132,788.55,4,5,3
133,976.86,5,5,3
134,804.18,6,5,3
135,805.45,7,5,3
136,758.87,8,5,3
137,1176.68,1,6,3
138,4873.94,2,6,3
139,782.00,3,6,3
140,1000.94,4,6,3
141,3152.25,5,6,3
142,863.48,6,6,3
143,980.65,7,6,3
144,832.24,8,6,3
145,2899.27,1,1,4
146,10858.47,2,1,4
147,745.92,3,1,4
148,1014.81,4,1,4
149,3457.81,5,1,4
150,786.41,6,1,4
151,774.19,7,1,4
152,1174.80,8,1,4
153,1961.57,1,2,4
154,5226.00,2,2,4
155,774.08,3,2,4
156,756.58,4,2,4
157,2179.50,5,2,4
158,806.15,6,2,4
159,839.90,7,2,4
160,901.67,8,2,4
161,5574.40,1,3,4
162,18161.93,2,3,4
163,877.94,3,3,4
164,1414.89,4,3,4
165,8280.01,5,3,4
166,993.55,6,3,4
167,928.89,7,3,4
168,911.70,8,3,4
169,4534.49,1,4,4
170,17044.17,2,4,4
171,884.92,3,4,4
172,1208.69,4,4,4
