"Basal Exp (GFP, au)","4-OHT Induced Exp (GFP, au)","GZV Induced Exp (GFP, au)","Dual Induced Exp (GFP, au)",No. of Barcodes (basal),No. of Barcodes (4-OHT),No. of Barcodes (GZV),No. of Barcodes (Dual),No. of Binding sites,Binding site pattern,Core prom,Term spacing reporter,Prom. SynTF A,AD SynTF A,IDR SynTF A,ZF Affinity SynTF A,Term spacing SynTF A,Prom. SynTF B,AD SynTF B,IDR SynTF B,ZF Affinity SynTF B,Term spacing SynTF B,Orientation
0,2786.5,0,0,0,1,0,0,1,2,1,1,4,1,2,1,1,1,1,1,1,1,1
1.21E+05,1.98E+05,1.98E+05,1.98E+05,1,1,1,1,2,1,1,1,4,2,2,1,1,1,1,1,1,1,1
959.53,0,0,0,1,0,0,0,1,4,1,1,4,2,2,1,1,1,1,1,1,1,1
0,0,68243,0,0,0,1,0,2,4,1,1,4,2,2,1,1,1,1,1,1,1,1
0,0,23499,0,0,0,1,0,2,4,1,1,1,2,3,1,1,1,1,1,1,1,1
2829.1,0,0,0,4,0,0,0,2,4,1,1,4,1,1,2,1,1,1,1,1,1,1
1782.6,1227.8,13620,62403,10,10,8,7,2,1,3,1,2,2,1,2,1,1,1,1,1,1,1
1830.8,34765,30172,44703,2,3,3,3,3,1,3,1,2,2,1,2,1,1,1,1,1,1,1
0,959.53,0,0,0,1,0,0,1,2,3,1,2,2,1,2,1,1,1,1,1,1,1
2314.8,2240.3,6544.1,13961,4,4,4,4,2,3,3,1,2,2,1,2,1,1,1,1,1,1,1
0,6418.3,45357,68243,0,1,1,1,3,3,3,1,2,2,1,2,1,1,1,1,1,1,1
959.53,0,0,0,1,0,0,0,1,4,3,1,2,2,1,2,1,1,1,1,1,1,1
2786.5,6644.9,8072.4,0,1,1,3,0,3,4,3,1,2,2,1,2,1,1,1,1,1,1,1
21052,23499,23499,23499,3,1,1,2,2,1,1,1,4,3,1,2,1,1,1,1,1,1,1
8092,0,45318,1.98E+05,1,0,1,1,3,1,1,1,4,3,1,2,1,1,1,1,1,1,1
0,2882.7,0,0,0,2,0,0,1,2,1,1,4,3,1,2,1,1,1,1,1,1,1
6818.9,7793.3,62136,20361,1,1,2,1,2,3,1,1,4,3,1,2,1,1,1,1,1,1,1
2570.3,3463.7,8703,8425.5,3,3,5,6,2,4,1,1,4,3,1,2,1,1,1,1,1,1,1
959.53,1294.5,957.19,667.5,1,5,3,4,1,1,2,1,4,3,1,2,1,1,1,1,1,1,1
959.53,959.53,0,0,1,1,0,0,3,1,2,1,4,3,1,2,1,1,1,1,1,1,1
585.86,762.16,838.51,972.91,3,3,3,3,3,2,2,1,4,3,1,2,1,1,1,1,1,1,1
113.78,187.3,696.95,507.14,5,5,5,5,3,3,2,1,4,3,1,2,1,1,1,1,1,1,1
0,2600.4,799.47,0,0,2,2,0,3,4,1,1,5,1,2,2,1,1,1,1,1,1,1
6488.6,40518,7963,8092,1,1,1,1,1,2,3,1,2,2,2,2,1,1,1,1,1,1,1
959.53,0,0,0,1,0,0,0,1,1,2,1,4,3,2,2,1,1,1,1,1,1,1
0,68243,46704,0,0,1,1,0,1,2,1,1,4,4,2,2,1,1,1,1,1,1,1
1.58E+05,63621,1.24E+05,10262,1,1,1,2,2,4,1,1,4,4,2,2,1,1,1,1,1,1,1
0,8092,959.53,55648,0,1,7,7,1,1,2,1,4,4,2,2,1,1,1,1,1,1,1
0,0,1.98E+05,1.98E+05,0,0,3,3,3,1,2,1,4,4,2,2,1,1,1,1,1,1,1
959.53,1146.2,8092,2786.5,2,2,2,2,3,3,2,1,4,4,2,2,1,1,1,1,1,1,1
2531.2,1.84E+05,4143.2,1.94E+05,15,16,12,18,3,2,1,1,1,2,3,2,1,1,1,1,1,1,1
325.18,399.64,1345.8,569.74,2,2,3,2,2,4,1,1,1,2,3,2,1,1,1,1,1,1,1
2691.7,77023,26648,1.76E+05,8,8,7,9,3,4,1,1,1,2,3,2,1,1,1,1,1,1,1
606.05,1265.5,701.42,1911.9,6,6,8,8,1,2,2,1,1,2,3,2,1,1,1,1,1,1,1
902.44,5683.4,1044.8,6025.6,4,5,4,5,3,2,2,1,1,2,3,2,1,1,1,1,1,1,1
383.04,13785,1532.5,14569,9,11,13,8,3,3,2,1,1,2,3,2,1,1,1,1,1,1,1
1190.8,22300,2004.2,48547,1,1,1,1,3,2,1,1,3,2,3,2,1,1,1,1,1,1,1
365.11,1077.6,1397.3,42431,3,2,2,5,1,2,2,1,3,2,3,2,1,1,1,1,1,1,1
330.41,7950.8,5177.8,17682,1,1,2,2,3,2,2,1,3,2,3,2,1,1,1,1,1,1,1
2334.4,64796,3984,67957,13,7,6,8,3,2,1,1,1,3,3,2,1,1,1,1,1,1,1
4760.3,46044,6787.8,63815,1,1,1,1,2,4,1,1,1,3,3,2,1,1,1,1,1,1,1
1894.5,67634,8720.3,61209,5,5,2,5,3,4,1,1,1,3,3,2,1,1,1,1,1,1,1
653.87,835.87,4941.8,8430.5,1,1,1,1,3,1,2,1,1,3,3,2,1,1,1,1,1,1,1
988.93,1356.5,1259.4,949.28,9,10,8,10,1,2,2,1,1,3,3,2,1,1,1,1,1,1,1
632.07,2876.3,1762.8,3233.4,22,22,22,22,3,2,2,1,1,3,3,2,1,1,1,1,1,1,1
222.62,2292.1,3081.8,2873.2,3,4,2,2,3,3,2,1,1,3,3,2,1,1,1,1,1,1,1
21674,79373,16210,60985,5,5,5,5,3,2,1,1,2,3,3,2,1,1,1,1,1,1,1
0,0,959.53,0,0,0,1,0,3,1,2,1,2,3,3,2,1,1,1,1,1,1,1
594.73,1566,646.78,2147.4,2,2,2,2,1,2,2,1,2,3,3,2,1,1,1,1,1,1,1
2786.5,7938.5,4159.5,0,3,3,4,0,3,2,2,1,2,3,3,2,1,1,1,1,1,1,1
0,12314,6571.4,0,0,1,1,0,3,3,2,1,2,3,3,2,1,1,1,1,1,1,1
959.53,0,0,0,3,0,0,0,2,1,1,1,4,1,1,3,1,1,1,1,1,1,1
959.53,0,49363,68243,1,0,1,1,3,1,1,1,4,1,1,3,1,1,1,1,1,1,1
2786.5,6839,2786.5,2786.5,1,4,1,1,1,2,1,1,4,1,1,3,1,1,1,1,1,1,1
4073.4,361.36,6499.1,0,5,4,4,0,2,4,1,1,4,1,1,3,1,1,1,1,1,1,1
348.05,461.8,463.27,838.03,10,10,10,10,1,1,2,1,4,1,1,3,1,1,1,1,1,1,1
0,959.53,3765.2,1.22E+05,0,5,2,7,3,1,2,1,4,1,1,3,1,1,1,1,1,1,1
509.27,559.53,529.1,542.71,1,1,1,1,3,3,2,1,4,1,1,3,1,1,1,1,1,1,1
12747,13886,7114.9,451.15,2,2,2,2,2,1,3,1,3,1,2,3,1,1,1,1,1,1,1
4432.5,0,0,2786.5,1,0,0,1,3,1,3,1,3,1,2,3,1,1,1,1,1,1,1
1172.9,2797.6,3555.3,5158.4,3,1,1,1,2,3,3,1,3,1,2,3,1,1,1,1,1,1,1
1511.6,1600.1,2688.1,3221.8,2,2,2,2,3,4,3,1,3,1,2,3,1,1,1,1,1,1,1
2299.6,5287.2,23442,27435,5,4,4,3,2,1,1,1,4,1,2,3,1,1,1,1,1,1,1
8629.2,2276.5,1205.8,95296,6,4,5,7,3,1,1,1,4,1,2,3,1,1,1,1,1,1,1
2268.2,1774.5,2730.5,4672.7,7,9,6,9,1,2,1,1,4,1,2,3,1,1,1,1,1,1,1
2786.5,5373.6,23499,23499,1,1,1,1,2,3,1,1,4,1,2,3,1,1,1,1,1,1,1
3668.3,6648.1,1657.3,13167,5,5,5,5,3,3,1,1,4,1,2,3,1,1,1,1,1,1,1
2786.5,2786.5,2451.4,23499,1,1,1,1,1,4,1,1,4,1,2,3,1,1,1,1,1,1,1
2786.5,2481.9,6169.9,16325,19,23,23,25,2,4,1,1,4,1,2,3,1,1,1,1,1,1,1
405.79,444.92,669.21,824.71,17,17,15,15,1,1,2,1,4,1,2,3,1,1,1,1,1,1,1
800.4,1349.5,3855.4,7983.7,10,7,6,7,3,1,2,1,4,1,2,3,1,1,1,1,1,1,1
959.53,959.53,702.61,2229,2,1,1,1,3,2,2,1,4,1,2,3,1,1,1,1,1,1,1
959.53,0,977.38,11610,4,0,5,10,3,3,2,1,4,1,2,3,1,1,1,1,1,1,1
8092,0,0,0,1,0,0,0,3,4,2,1,4,1,2,3,1,1,1,1,1,1,1
330.41,959.53,1411.7,959.53,1,1,1,1,1,1,3,1,4,1,2,3,1,1,1,1,1,1,1
1334,2493.1,3064.8,14933,1,1,1,1,2,4,1,1,5,1,2,3,1,1,1,1,1,1,1
402.56,435.88,710.46,837.47,1,1,1,1,1,1,2,1,5,1,2,3,1,1,1,1,1,1,1
959.53,543.79,2324.4,10690,1,1,1,1,3,1,4,1,5,2,2,3,1,1,1,1,1,1,1
0,46194,0,1.98E+05,0,3,0,2,2,1,1,1,4,4,2,3,1,1,1,1,1,1,1
0,0,0,1.98E+05,0,0,0,2,3,1,1,1,4,4,2,3,1,1,1,1,1,1,1
2307.7,19833,1908.9,12413,5,3,5,5,1,2,1,1,4,4,2,3,1,1,1,1,1,1,1
4895.4,1.98E+05,18643,68243,3,3,3,3,2,4,1,1,4,4,2,3,1,1,1,1,1,1,1
959.53,0,0,0,3,0,0,0,1,1,2,1,4,4,2,3,1,1,1,1,1,1,1
0,0,23499,0,0,0,1,0,3,1,2,1,4,4,2,3,1,1,1,1,1,1,1
1588.3,23181,929.77,22213,9,4,3,4,3,2,2,1,4,4,2,3,1,1,1,1,1,1,1
1049.6,1261,4098.7,5724.6,1,1,1,1,3,2,1,1,1,1,3,3,1,1,1,1,1,1,1
1854.8,2190,2826.9,7013.7,3,2,5,4,3,2,1,1,3,3,3,3,1,1,1,1,1,1,1
1171.6,1034,1731.7,1722.6,3,3,3,3,2,4,1,1,3,3,3,3,1,1,1,1,1,1,1
959.53,2786.5,2786.5,5073.9,2,1,1,1,3,4,1,1,3,3,3,3,1,1,1,1,1,1,1
353.47,390.45,516.69,653.62,2,2,2,2,3,1,2,1,3,3,3,3,1,1,1,1,1,1,1
480.61,947.57,717.84,886.65,8,11,11,12,1,2,2,1,3,3,3,3,1,1,1,1,1,1,1
360.31,745,728.58,704.31,14,10,12,9,3,2,2,1,3,3,3,3,1,1,1,1,1,1,1
490.23,1195.2,1065.6,856.47,14,16,13,26,3,3,2,1,3,3,3,3,1,1,1,1,1,1,1
301.66,703.64,793.18,704.9,1,1,1,1,3,2,4,1,3,3,3,3,1,1,1,1,1,1,1
0,0,68243,0,0,0,1,0,2,1,1,1,4,1,1,4,1,1,1,1,1,1,1
9455.4,13648,64145,76963,4,2,7,7,3,1,1,1,4,1,1,4,1,1,1,1,1,1,1
1088.1,1445.3,1362.9,1020.2,2,2,2,1,1,2,1,1,4,1,1,4,1,1,1,1,1,1,1
