"Basal Exp (GFP, au)","4-OHT Induced Exp (GFP, au)","GZV Induced Exp (GFP, au)","Dual Induced Exp (GFP, au)",No. of Barcodes (basal),No. of Barcodes (4-OHT),No. of Barcodes (GZV),No. of Barcodes (Dual),No. of Binding sites,Binding site pattern,Core prom,Term spacing reporter,Prom. SynTF A,AD SynTF A,IDR SynTF A,ZF Affinity SynTF A,Term spacing SynTF A,Prom. SynTF B,AD SynTF B,IDR SynTF B,ZF Affinity SynTF B,Term spacing SynTF B,Orientation,and_score,or_score
121000.0,198000.0,198000.0,198000.0,1,1,1,1,2,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1.0,1.6363636363636365
1782.6,1227.8,13620.0,62403.0,10,10,8,7,2,1,3,1,2,2,1,2,1,1,1,1,1,1,1,4.5817180616740085,0.6887692135083586
1830.8,34765.0,30172.0,44703.0,2,3,3,3,3,1,3,1,2,2,1,2,1,1,1,1,1,1,1,1.2858622177477348,16.480227223071882
2314.8,2240.3,6544.1,13961.0,4,4,4,4,2,3,3,1,2,2,1,2,1,1,1,1,1,1,1,2.1333720450482114,0.9678157940210818
21052.0,23499.0,23499.0,23499.0,3,1,1,2,2,1,1,1,4,3,1,2,1,1,1,1,1,1,1,1.0,1.1162359870796124
6818.9,7793.3,62136.0,20361.0,1,1,2,1,2,3,1,1,4,3,1,2,1,1,1,1,1,1,1,0.3276844341444573,1.1428969481881244
2570.3,3463.7,8703.0,8425.5,3,3,5,6,2,4,1,1,4,3,1,2,1,1,1,1,1,1,1,0.9681144432954154,1.3475858849161575
959.53,1294.5,957.19,667.5,1,5,3,4,1,1,2,1,4,3,1,2,1,1,1,1,1,1,1,0.5156431054461182,0.6956530801538253
585.86,762.16,838.51,972.91,3,3,3,3,3,2,2,1,4,3,1,2,1,1,1,1,1,1,1,1.1602843138424108,1.3009251356979483
113.78,187.3,696.95,507.14,5,5,5,5,3,3,2,1,4,3,1,2,1,1,1,1,1,1,1,0.7276562163713322,1.6461592547020567
6488.6,40518.0,7963.0,8092.0,1,1,1,1,1,2,3,1,2,2,2,2,1,1,1,1,1,1,1,0.19971370748803002,1.2272292944548902
158000.0,63621.0,124000.0,10262.0,1,1,1,2,2,4,1,1,4,4,2,2,1,1,1,1,1,1,1,0.0649493670886076,0.0649493670886076
959.53,1146.2,8092.0,2786.5,2,2,2,2,3,3,2,1,4,4,2,2,1,1,1,1,1,1,1,0.3443524468610974,1.1945431617562765
2531.2,184000.0,4143.2,194000.0,15,16,12,18,3,2,1,1,1,2,3,2,1,1,1,1,1,1,1,1.0543478260869565,1.6368520859671303
325.18,399.64,1345.8,569.74,2,2,3,2,2,4,1,1,1,2,3,2,1,1,1,1,1,1,1,0.4233467082776044,1.2289808721323574
2691.7,77023.0,26648.0,176000.0,8,8,7,9,3,4,1,1,1,2,3,2,1,1,1,1,1,1,1,2.2850317437648493,9.900063157112607
606.05,1265.5,701.42,1911.9,6,6,8,8,1,2,2,1,1,2,3,2,1,1,1,1,1,1,1,1.510786250493876,1.1573632538569425
902.44,5683.4,1044.8,6025.6,4,5,4,5,3,2,2,1,1,2,3,2,1,1,1,1,1,1,1,1.060210437414224,1.1577500997296217
383.04,13785.0,1532.5,14569.0,9,11,13,8,3,3,2,1,1,2,3,2,1,1,1,1,1,1,1,1.056873413130214,4.000887635756056
1190.8,22300.0,2004.2,48547.0,1,1,1,1,3,2,1,1,3,2,3,2,1,1,1,1,1,1,1,2.1769955156950673,1.683070204904266
365.11,1077.6,1397.3,42431.0,3,2,2,5,1,2,2,1,3,2,3,2,1,1,1,1,1,1,1,30.36642095469835,2.951439292268083
330.41,7950.8,5177.8,17682.0,1,1,2,2,3,2,2,1,3,2,3,2,1,1,1,1,1,1,1,2.223927151984706,15.670833207227384
2334.4,64796.0,3984.0,67957.0,13,7,6,8,3,2,1,1,1,3,3,2,1,1,1,1,1,1,1,1.0487838755478733,1.7066483893077449
4760.3,46044.0,6787.8,63815.0,1,1,1,1,2,4,1,1,1,3,3,2,1,1,1,1,1,1,1,1.3859569107809921,1.425918534546142
1894.5,67634.0,8720.3,61209.0,5,5,2,5,3,4,1,1,1,3,3,2,1,1,1,1,1,1,1,0.9050034006564746,4.602955925046186
653.87,835.87,4941.8,8430.5,1,1,1,1,3,1,2,1,1,3,3,2,1,1,1,1,1,1,1,1.7059573434780848,1.2783427898511937
988.93,1356.5,1259.4,949.28,9,10,8,10,1,2,2,1,1,3,3,2,1,1,1,1,1,1,1,0.6998009583486915,0.9599061612045342
632.07,2876.3,1762.8,3233.4,22,22,22,22,3,2,2,1,1,3,3,2,1,1,1,1,1,1,1,1.1241525571046136,2.788931605676586
222.62,2292.1,3081.8,2873.2,3,4,2,2,3,3,2,1,1,3,3,2,1,1,1,1,1,1,1,0.9323122850282302,10.296020123978078
21674.0,79373.0,16210.0,60985.0,5,5,5,5,3,2,1,1,2,3,3,2,1,1,1,1,1,1,1,0.7683343202348406,0.7479007105287441
594.73,1566.0,646.78,2147.4,2,2,2,2,1,2,2,1,2,3,3,2,1,1,1,1,1,1,1,1.371264367816092,1.0875187059674136
2786.5,6839.0,2786.5,2786.5,1,4,1,1,1,2,1,1,4,1,1,3,1,1,1,1,1,1,1,0.40744260856850417,1.0
348.05,461.8,463.27,838.03,10,10,10,10,1,1,2,1,4,1,1,3,1,1,1,1,1,1,1,1.8089451076046366,1.3268208590719723
509.27,559.53,529.1,542.71,1,1,1,1,3,3,2,1,4,1,1,3,1,1,1,1,1,1,1,0.9699390559934231,1.0389380878512382
12747.0,13886.0,7114.9,451.15,2,2,2,2,2,1,3,1,3,1,2,3,1,1,1,1,1,1,1,0.03248955782802823,0.035392641405820977
1172.9,2797.6,3555.3,5158.4,3,1,1,1,2,3,3,1,3,1,2,3,1,1,1,1,1,1,1,1.450904283745394,2.385199079205388
1511.6,1600.1,2688.1,3221.8,2,2,2,2,3,4,3,1,3,1,2,3,1,1,1,1,1,1,1,1.1985417209181206,1.0585472347181795
2299.6,5287.2,23442.0,27435.0,5,4,4,3,2,1,1,1,4,1,2,3,1,1,1,1,1,1,1,1.1703352956232402,2.2991824665159157
8629.2,2276.5,1205.8,95296.0,6,4,5,7,3,1,1,1,4,1,2,3,1,1,1,1,1,1,1,11.043433922032168,0.13973485375237563
2268.2,1774.5,2730.5,4672.7,7,9,6,9,1,2,1,1,4,1,2,3,1,1,1,1,1,1,1,1.7112982970151986,0.7823384181289128
2786.5,5373.6,23499.0,23499.0,1,1,1,1,2,3,1,1,4,1,2,3,1,1,1,1,1,1,1,1.0,1.9284406962138885
3668.3,6648.1,1657.3,13167.0,5,5,5,5,3,3,1,1,4,1,2,3,1,1,1,1,1,1,1,1.9805658759645612,0.4517896573344601
2786.5,2786.5,2451.4,23499.0,1,1,1,1,1,4,1,1,4,1,2,3,1,1,1,1,1,1,1,8.433159877983133,0.8797416113403912
2786.5,2481.9,6169.9,16325.0,19,23,23,25,2,4,1,1,4,1,2,3,1,1,1,1,1,1,1,2.6459099823335874,0.8906872420599319
405.79,444.92,669.21,824.71,17,17,15,15,1,1,2,1,4,1,2,3,1,1,1,1,1,1,1,1.2323635331211429,1.0964291875107814
800.4,1349.5,3855.4,7983.7,10,7,6,7,3,1,2,1,4,1,2,3,1,1,1,1,1,1,1,2.0707838356590753,1.686031984007996
959.53,959.53,702.61,2229.0,2,1,1,1,3,2,2,1,4,1,2,3,1,1,1,1,1,1,1,2.3230123081091785,0.732243911081467
330.41,959.53,1411.7,959.53,1,1,1,1,1,1,3,1,4,1,2,3,1,1,1,1,1,1,1,0.6796982361691577,2.904058593868224
1334.0,2493.1,3064.8,14933.0,1,1,1,1,2,4,1,1,5,1,2,3,1,1,1,1,1,1,1,4.8724223440355,1.8688905547226387
402.56,435.88,710.46,837.47,1,1,1,1,1,1,2,1,5,1,2,3,1,1,1,1,1,1,1,1.1787715001548293,1.0827702702702702
959.53,543.79,2324.4,10690.0,1,1,1,1,3,1,4,1,5,2,2,3,1,1,1,1,1,1,1,4.599036310445706,0.5667253759653164
2307.7,19833.0,1908.9,12413.0,5,3,5,5,1,2,1,1,4,4,2,3,1,1,1,1,1,1,1,0.625876065143952,0.8271872427091911
4895.4,198000.0,18643.0,68243.0,3,3,3,3,2,4,1,1,4,4,2,3,1,1,1,1,1,1,1,0.34466161616161617,3.8082689872124855
1588.3,23181.0,929.77,22213.0,9,4,3,4,3,2,2,1,4,4,2,3,1,1,1,1,1,1,1,0.9582416634312584,0.5853868916451552
1049.6,1261.0,4098.7,5724.6,1,1,1,1,3,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1.3966867543367412,1.2014100609756098
1854.8,2190.0,2826.9,7013.7,3,2,5,4,3,2,1,1,3,3,3,3,1,1,1,1,1,1,1,2.481056988220312,1.1807202932930774
1171.6,1034.0,1731.7,1722.6,3,3,3,3,2,4,1,1,3,3,3,3,1,1,1,1,1,1,1,0.9947450482185135,0.8825537726186412
959.53,2786.5,2786.5,5073.9,2,1,1,1,3,4,1,1,3,3,3,3,1,1,1,1,1,1,1,1.8208864166517136,2.90402592936125
353.47,390.45,516.69,653.62,2,2,2,2,3,1,2,1,3,3,3,3,1,1,1,1,1,1,1,1.2650138380847316,1.1046199111664354
480.61,947.57,717.84,886.65,8,11,11,12,1,2,2,1,3,3,3,3,1,1,1,1,1,1,1,0.935709235201621,1.4936018809429683
360.31,745.0,728.58,704.31,14,10,12,9,3,2,2,1,3,3,3,3,1,1,1,1,1,1,1,0.9453825503355704,1.9547334239960032
490.23,1195.2,1065.6,856.47,14,16,13,26,3,3,2,1,3,3,3,3,1,1,1,1,1,1,1,0.7165913654618474,1.7470779022091671
301.66,703.64,793.18,704.9,1,1,1,1,3,2,4,1,3,3,3,3,1,1,1,1,1,1,1,0.8887011775385159,2.3325598355764767
9455.4,13648.0,64145.0,76963.0,4,2,7,7,3,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1.1998285135240472,1.4434079996615692
1088.1,1445.3,1362.9,1020.2,2,2,2,1,1,2,1,1,4,1,1,4,1,1,1,1,1,1,1,0.7058742129661663,0.9375976472750668
3008.0,40772.0,1758.4,63325.0,4,6,2,5,2,4,1,1,4,1,1,4,1,1,1,1,1,1,1,1.5531492200529775,0.5845744680851064
568.06,998.71,5385.9,7058.7,1,1,1,1,3,1,2,1,4,1,1,4,1,1,1,1,1,1,1,1.3105887595387957,1.7581065380417564
594.41,14200.0,688.2,14066.0,1,1,1,1,3,2,2,1,5,3,1,4,1,1,1,1,1,1,1,0.9905633802816901,1.1577867128749517
