dataset,embedding,regressor,strategy,method_label,auc_normalized_pred,file_path
AD-3-3-1,sei,LinearRegression,kmeans_random,sei_LinearRegression,0.199029658039125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/sei_pca/combined_all_custom_metrics.csv
AD-3-3-1,sei,LinearRegression,kmeans_high_expression,sei_LinearRegression,0.138531406168875,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/sei_pca/combined_all_custom_metrics.csv
AD-3-3-1,sei,RandomForestRegressor,kmeans_high_expression,sei_RandomForestRegressor,0.108378388138125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/sei_pca/combined_all_custom_metrics.csv
AD-3-3-1,sei,RandomForestRegressor,kmeans_random,sei_RandomForestRegressor,0.199029658039125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/sei_pca/combined_all_custom_metrics.csv
AD-3-3-1,sei,MLPRegressor,kmeans_random,sei_MLPRegressor,0.199029658039125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/sei_pca/combined_all_custom_metrics.csv
AD-3-3-1,sei,MLPRegressor,kmeans_high_expression,sei_MLPRegressor,0.134148024134875,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/sei_pca/combined_all_custom_metrics.csv
AD-3-3-1,onehot_pca,LinearRegression,kmeans_random,onehot_pca_LinearRegression,0.2027155435379374,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-1,onehot_pca,LinearRegression,kmeans_high_expression,onehot_pca_LinearRegression,0.3375224892021375,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-1,onehot_pca,RandomForestRegressor,kmeans_high_expression,onehot_pca_RandomForestRegressor,0.3144622393922125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-1,onehot_pca,RandomForestRegressor,kmeans_random,onehot_pca_RandomForestRegressor,0.2027155435379374,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-1,onehot_pca,MLPRegressor,kmeans_random,onehot_pca_MLPRegressor,0.2027155435379374,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-1,onehot_pca,MLPRegressor,kmeans_high_expression,onehot_pca_MLPRegressor,0.1430738462992125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-1,evo,LinearRegression,kmeans_random,evo_LinearRegression,0.2080217399717499,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-1,evo,LinearRegression,kmeans_high_expression,evo_LinearRegression,0.1076756137184999,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-1,evo,RandomForestRegressor,kmeans_high_expression,evo_RandomForestRegressor,0.16137787360075,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-1,evo,RandomForestRegressor,kmeans_random,evo_RandomForestRegressor,0.2080217399717499,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-1,evo,MLPRegressor,kmeans_random,evo_MLPRegressor,0.2080217399717499,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-1,evo,MLPRegressor,kmeans_high_expression,evo_MLPRegressor,0.18160401511725,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-1/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-2,sei,LinearRegression,kmeans_random,sei_LinearRegression,0.30423879598875,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/sei_pca/combined_all_custom_metrics.csv
AD-1-2-2,sei,LinearRegression,kmeans_high_expression,sei_LinearRegression,0.5340695241425,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/sei_pca/combined_all_custom_metrics.csv
AD-1-2-2,sei,RandomForestRegressor,kmeans_high_expression,sei_RandomForestRegressor,0.3479108371075,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/sei_pca/combined_all_custom_metrics.csv
AD-1-2-2,sei,RandomForestRegressor,kmeans_random,sei_RandomForestRegressor,0.28848635425125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/sei_pca/combined_all_custom_metrics.csv
AD-1-2-2,sei,MLPRegressor,kmeans_random,sei_MLPRegressor,0.30423879598875,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/sei_pca/combined_all_custom_metrics.csv
AD-1-2-2,sei,MLPRegressor,kmeans_high_expression,sei_MLPRegressor,0.3406421046625,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/sei_pca/combined_all_custom_metrics.csv
AD-1-2-2,onehot_pca,LinearRegression,kmeans_random,onehot_pca_LinearRegression,0.2540048990974999,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/onehot_pca/combined_all_custom_metrics.csv
