round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,active,789,8,326,2797.8529207707284,0.5083087754628293,0.8427327784331728,1.660748198833105e-14,0.3523843364206642,0.012080321749225346
2,active,789,16,318,2700.9564474469644,0.5417759717432037,0.8436574123147272,1.4575384559478166e-14,0.3564082555416011,0.011070136877735134
3,active,789,24,310,2635.667588880542,0.5636610639240777,0.8436290211253304,1.463409775137637e-14,0.3545497031007601,0.011527307641860978
4,active,789,32,302,2606.7829468655677,0.5731724547462964,0.8434405264757795,1.502964627717537e-14,0.3553185829123096,0.011336246693166541
5,active,789,40,294,2544.6760410052975,0.5932686034807715,0.8425404321465315,1.706277656062503e-14,0.3536596228018079,0.011751935124171938
6,active,789,48,286,2547.279601946092,0.5924358910352048,0.8425974167791759,1.692666834150046e-14,0.35354646707862925,0.011780759495793984
7,active,789,56,278,2540.266995799681,0.5946768326639612,0.8269049336585116,1.3730471871918286e-13,0.18950112535001234,0.1874825583300482
8,active,789,64,270,2245.543143829587,0.683272696390091,0.8813953696548742,3.0018325729015044e-17,0.4450536322908205,0.0012017615634435153
9,active,789,72,262,2055.994577723358,0.7344864886422627,0.9009082131401018,5.039117806850231e-19,0.5579274634226898,2.558276978329119e-05
10,active,789,80,254,1985.606299520124,0.7523553328053827,0.9051756597553531,1.8405426351759122e-19,0.5718134041822701,1.439576562690191e-05
11,active,789,88,246,1997.2626114221293,0.7494392498880971,0.9030047401560158,3.090234127808242e-19,0.5402809905017414,5.123992050571919e-05
12,active,789,96,238,2084.0414800233752,0.7271930602798369,0.8861845946597424,1.180416082140413e-17,0.409941103149574,0.0031110305210175623
13,active,789,104,230,2043.2180106790543,0.7377761963795847,0.8998835749643864,6.374251944919938e-19,0.47486084565540065,0.000493256707520088
14,active,789,112,222,2021.423597735907,0.7433404911671517,0.9099314225617773,5.655197458610649e-20,0.5734410276475148,1.343443911945697e-05
15,active,789,120,214,2037.5509580875269,0.7392287826913798,0.9089441664648361,7.263317450537394e-20,0.558965879763737,2.4527842293895006e-05
16,active,789,128,206,2059.28217351693,0.7336366819260303,0.9074976262665941,1.0427376341461896e-19,0.5063695568219526,0.00017547181170320822
17,active,789,136,198,2061.303623139832,0.7331134857270984,0.907966653804954,9.279828353770416e-20,0.502199548648972,0.0002023650997194948
18,active,789,144,190,2066.7132747721816,0.731710822339239,0.9075489416410114,1.0295520123781082e-19,0.4903268500705031,0.0003007199772495765
19,active,789,152,182,2070.391570279551,0.7307549809322842,0.9074707779850129,1.0497004289332578e-19,0.5018149792616655,0.00020502497835608006
20,active,789,160,174,2068.1501057549062,0.7313376499138761,0.9074031506778598,1.0674359689928916e-19,0.5070540085671735,0.00017138240326058297
