round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
1,highExpression,42,0.22878646269047326,3819.4395,"[0.21029921 0.21029921 0.21029921 0.21029921 0.21029921 0.21029921
 0.21029921 0.21029921]",0.5157775161189343,16893.76,"[0.43412402 0.10332217 0.59786983 0.19865345 0.85711871 0.10336016
 0.5681753  0.93017427]"
2,highExpression,42,0.4838892363858217,8078.2124,"[0.44478821 0.44478821 0.44478821 0.44478821 0.44478821 0.44478821
 0.44478821 0.44478821]",0.731586710635256,17044.17,"[0.87807463 0.11300891 0.93845588 0.82131359 0.23770491 0.77881315
 0.70853098 0.90386044]"
3,highExpression,42,0.6004528968931511,10024.166,"[0.55193286 0.55193286 0.55193286 0.55193286 0.55193286 0.55193286
 0.55193286 0.55193286]",0.45297689780166245,13111.82,"[0.31328939 0.13665012 0.72193979 0.48554807 0.54163847 0.18968579
 0.57012663 0.37211188]"
4,highExpression,42,0.5532604016004345,9236.318,"[0.50855379 0.50855379 0.50855379 0.50855379 0.50855379 0.50855379
 0.50855379 0.50855379]",0.45484729197473023,18161.93,"[0.28774475 0.84615402 0.5709195  0.1233239  0.13495867 1.
 0.26836025 0.11328311]"
5,highExpression,42,0.5294030250638211,8838.035,"[0.48662423 0.48662423 0.48662423 0.48662423 0.48662423 0.48662423
 0.48662423 0.48662423]",0.6007882790468771,17792.84,"[0.16878162 0.65551458 0.97967782 0.81047003 0.23294606 0.70331622
 0.06519296 0.80202985]"
6,highExpression,42,0.27046062129163284,9070.5625,"[0.49942724 0.49942724 0.16612055 0.1650069  0.16494283 0.16490043
 0.16470755 0.16431416]",0.19037752431332727,15979.7,"[0.28266599 0.87984592 0.04178355 0.03565645 0.04427833 0.04041586
 0.03556395 0.03974137]"
7,highExpression,42,0.1252205160942402,2091.16,"[0.11513974 0.11513974 0.11513974 0.11513974 0.11513974 0.11513974
 0.11498867 0.11498867]",0.1355721297670792,5574.4,"[0.06975745 0.08214105 0.10431766 0.04314464 0.10600801 0.07276815
 0.30692773 0.21187231]"
8,highExpression,42,0.25603617493579567,4711.207,"[0.25940013 0.25940013 0.25940013 0.25940013 0.21129384 0.21129384
 0.21129384 0.21129384]",0.17661477762945077,6438.58,"[0.35450968 0.09076293 0.17642563 0.19283633 0.06478827 0.15287913
 0.12779809 0.13874627]"
9,highExpression,42,0.1750338498619398,2922.075,"[0.16089011 0.16089011 0.16089011 0.16089011 0.16089011 0.16089011
 0.16089011 0.16089011]",0.06059418214865852,1309.13,"[0.04970452 0.04993522 0.05828455 0.072081   0.05673461 0.05423322
 0.04803289 0.05657659]"
10,highExpression,42,0.1471972557004643,2457.6162,"[0.13531691 0.13531691 0.13531691 0.13531691 0.13531691 0.13531691
 0.13531691 0.13520458]",0.20623409416196223,5516.42,"[0.19447052 0.28585123 0.06304947 0.17652144 0.17416431 0.24967005
 0.30373534 0.06909123]"
11,highExpression,42,0.15080180250496697,2517.5369,"[0.13861615 0.13861615 0.13861615 0.13861615 0.13861615 0.13861615
 0.13861615 0.13861615]",0.10481155831119311,2248.29,"[0.09229801 0.12027301 0.07506471 0.12000377 0.12379136 0.09032355
 0.06168618 0.08729689]"
12,highExpression,42,0.12064570055756019,2198.5525,"[0.1210528  0.1210528  0.10784907 0.10784907 0.10784907 0.10784907
 0.10784907 0.10582371]",0.1598846333685988,7861.01,"[0.24505876 0.20021165 0.05378613 0.06149181 0.06181887 0.05620108
 0.06432301 0.432829  ]"
13,highExpression,42,0.42671935366635005,7861.0073,"[0.43282885 0.43282885 0.43282885 0.43282885 0.43282885 0.43282885
 0.43282885 0.10810207]",0.31184442609358315,8015.31,"[0.29804487 0.26004009 0.36183654 0.31955855 0.36512089 0.44132479
 0.1735636  0.07367554]"
14,highExpression,42,0.10636176307143465,1775.6396,"[0.09776712 0.09776712 0.09776712 0.09776712 0.09776712 0.09776712
 0.09776712 0.09776712]",0.3892469226999184,9555.68,"[0.18364954 0.33564605 0.32796349 0.42051258 0.52613792 0.22125237
 0.37566492 0.47152147]"
15,highExpression,42,0.19768758542003337,3300.2642,"[0.1817133 0.1817133 0.1817133 0.1817133 0.1817133 0.1817133 0.1817133
 0.1817133]",0.1678024356994723,3720.76,"[0.14612984 0.18264028 0.20486589 0.17686832 0.14816542 0.19038781
 0.07128648 0.11360026]"
16,highExpression,42,0.18854027958712752,3147.556,"[0.17330514 0.17330514 0.17330514 0.17330514 0.17330514 0.17330514
 0.17330514 0.17330514]",0.39355047656265824,8796.24,"[0.33357138 0.34659973 0.42407332 0.4714097  0.45589924 0.23600686
 0.48432298 0.14211155]"
17,highExpression,42,0.11467762726418779,2322.0786,"[0.12785418 0.12785418 0.12785418 0.12785418 0.08296786 0.08296786
 0.08296786 0.08296786]",0.05533221974247323,1144.73,"[0.06302909 0.05757703 0.05899428 0.05915781 0.04088332 0.03866439
 0.04735345 0.0412291 ]"
18,highExpression,42,0.07469068653525698,1254.7974,"[0.06908943 0.06908943 0.06908943 0.06908943 0.06908943 0.06908943
 0.06746041 0.06724499]",0.12219708928929336,3419.13,"[0.16115248 0.18825808 0.0693412  0.15963447 0.09696492 0.10890087
 0.04964616 0.06468476]"
19,highExpression,42,0.07621007761847548,1272.3904,"[0.0700581  0.0700581  0.0700581  0.0700581  0.0700581  0.0700581
 0.07003315 0.07003315]",0.04750336970453823,926.36,"[0.04219155 0.05100559 0.04324045 0.04153964 0.04268654 0.04391384
 0.04336488 0.04137611]"
20,highExpression,42,0.06794313122018378,1195.2944,"[0.06581318 0.06430618 0.06407168 0.06284363 0.06180076 0.06059538
 0.06055402 0.05963869]",0.07067469325835064,1649.83,"[0.06827468 0.04582332 0.08852859 0.04783853 0.07389193 0.09084002
 0.05565543 0.04885769]"
1,highExpression,123,0.21611688554234426,3607.9292,"[0.1986534 0.1986534 0.1986534 0.1986534 0.1986534 0.1986534 0.1986534
 0.1986534]",0.5676730924764811,18161.93,"[0.97967782 0.48554807 0.5709195  0.11300891 0.59786983 1.
 0.18968579 0.23770491]"
2,highExpression,123,0.5286112148804668,8824.816,"[0.4858964 0.4858964 0.4858964 0.4858964 0.4858964 0.4858964 0.4858964
 0.4858964]",0.5392292490473719,16415.85,"[0.28774475 0.90386044 0.06519296 0.82131359 0.77881315 0.70331622
 0.26836025 0.13665012]"
3,highExpression,123,0.5336079372542806,8908.233,"[0.49048936 0.49048936 0.49048936 0.49048936 0.49048936 0.49048936
 0.49048936 0.49048936]",0.5674757202170653,16893.76,"[0.28451437 0.72193979 0.54163847 0.65551458 0.93017427 0.23294606
 0.43412402 0.37211188]"
4,highExpression,123,0.5444458391389431,9089.165,"[0.5004515 0.5004515 0.5004515 0.5004515 0.5004515 0.5004515 0.5004515
 0.5004515]",0.49081748774524936,16549.64,"[0.12799025 0.10336016 0.57012663 0.10332217 0.80202985 0.70853098
 0.28266599 0.91122695]"
5,highExpression,123,0.4396633676846923,8872.127,"[0.48850133 0.48850133 0.48850133 0.48850133 0.48850133 0.48850133
 0.15149176 0.15058861]",0.3717130630245865,15979.7,"[0.87984592 0.13495867 0.1233239  0.11328311 0.55474225 0.84615402
 0.03932071 0.04178355]"
