round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,highExpression,42,8,326,2895.3297335668294,0.2701601151263454,0.768414313479561,7.289926228729667e-11,0.5592677334953525,2.4228789361439168e-05
2,highExpression,42,16,318,2277.780068953958,0.5482947797967037,0.7717337165090171,5.37078034070078e-11,0.5801337675289737,1.0071635837854132e-05
3,highExpression,42,24,310,2296.216507766777,0.5409529484430198,0.7721543563058284,5.164937609789601e-11,0.5974334902976998,4.640166739772945e-06
4,highExpression,42,32,302,2263.139224124766,0.5540829521372787,0.772009386431452,5.2350218624249526e-11,0.5914107992615891,6.108241629533701e-06
5,highExpression,42,40,294,2259.631829240751,0.5554640383849738,0.7719247149104247,5.2763705629137716e-11,0.585032022722126,8.123866480220488e-06
6,highExpression,42,48,286,2260.590800987151,0.5550866424917716,0.7719753844420654,5.251589516792367e-11,0.5853238310555748,8.019630886403791e-06
7,highExpression,42,56,278,2079.883485914833,0.6233746519717254,0.7962350481510829,4.752880408217035e-12,0.7492913935811595,3.860220510110965e-10
8,highExpression,42,64,270,2019.3292002071385,0.6449857518437719,0.8091271180913232,1.1579482880244226e-12,0.6474462086807786,3.7446232845497984e-07
9,highExpression,42,72,262,2007.549405950297,0.6491156351030928,0.8117648324368347,8.560524697741423e-13,0.6413400833213823,5.217312445393158e-07
10,highExpression,42,80,254,1995.5024715866311,0.6533141847711751,0.8140746438973663,6.545247763948865e-13,0.651160748013386,3.049347116992248e-07
11,highExpression,42,88,246,1991.110631443878,0.6548385258256753,0.8138898958231224,6.688201565743989e-13,0.6730905352727439,8.546155649018225e-08
12,highExpression,42,96,238,1971.806217758804,0.6614989687090296,0.8188613848568702,3.707923629650773e-13,0.6830864535461074,4.616135162232177e-08
13,highExpression,42,104,230,1953.7318146652533,0.6676762117052844,0.8227822553796519,2.2989340326986514e-13,0.7015598860954924,1.3846566393835439e-08
14,highExpression,42,112,222,1950.6889552794632,0.6687105676875904,0.8236648178000135,2.0610810056372592e-13,0.7026795708810732,1.2834490391934724e-08
15,highExpression,42,120,214,2008.885700572293,0.6486483579926026,0.8088505252714339,1.194891300684589e-12,0.608520315853202,2.7562309717528617e-06
16,highExpression,42,128,206,2004.323052455402,0.6502425486498162,0.8101178913822868,1.0343102560208167e-12,0.6231197303579585,1.3458661480654989e-06
17,highExpression,42,136,198,2025.4860060969424,0.6428176200446106,0.8048604712669122,1.8692384826536257e-12,0.6474137224206258,3.751309847251377e-07
18,highExpression,42,144,190,1993.0597362278997,0.654162435656277,0.8157547523388471,5.371742934857224e-13,0.6845558015158785,4.2079915170716837e-08
