round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
1,highExpression,123,0.21611688554234426,3607.9292,"[0.1986534 0.1986534 0.1986534 0.1986534 0.1986534 0.1986534 0.1986534
 0.1986534]",0.5676730924764811,18161.93,"[0.97967782 0.48554807 0.5709195  0.11300891 0.59786983 1.
 0.18968579 0.23770491]"
2,highExpression,123,0.5286112148804668,8824.816,"[0.4858964 0.4858964 0.4858964 0.4858964 0.4858964 0.4858964 0.4858964
 0.4858964]",0.5392292490473719,16415.85,"[0.28774475 0.90386044 0.06519296 0.82131359 0.77881315 0.70331622
 0.26836025 0.13665012]"
3,highExpression,123,0.5336079372542806,8908.233,"[0.49048936 0.49048936 0.49048936 0.49048936 0.49048936 0.49048936
 0.49048936 0.49048936]",0.5674757202170653,16893.76,"[0.28451437 0.72193979 0.54163847 0.65551458 0.93017427 0.23294606
 0.43412402 0.37211188]"
4,highExpression,123,0.5444458391389431,9089.165,"[0.5004515 0.5004515 0.5004515 0.5004515 0.5004515 0.5004515 0.5004515
 0.5004515]",0.49081748774524936,16549.64,"[0.12799025 0.10336016 0.57012663 0.10332217 0.80202985 0.70853098
 0.28266599 0.91122695]"
5,highExpression,123,0.4396633676846923,8872.127,"[0.48850133 0.48850133 0.48850133 0.48850133 0.48850133 0.48850133
 0.15149176 0.15058861]",0.3717130630245865,15979.7,"[0.87984592 0.13495867 0.1233239  0.11328311 0.55474225 0.84615402
 0.03932071 0.04178355]"
6,highExpression,123,0.12373794863029046,2067.377,"[0.11383025 0.11383025 0.11383025 0.11383025 0.11383025 0.11383025
 0.11346613 0.11346613]",0.11143685687042953,3204.23,"[0.10800449 0.07276815 0.08214105 0.06975745 0.1152796  0.10431766
 0.09076293 0.17642563]"
7,highExpression,123,0.14284202183309325,2426.335,"[0.13359456 0.13359456 0.13359456 0.13359456 0.13359456 0.13359456
 0.12441461 0.12441461]",0.23996221294615866,6676.65,"[0.36761787 0.35450968 0.2330738  0.21187231 0.19283633 0.30692773
 0.04970452 0.04803289]"
8,highExpression,123,0.16382338303506513,2734.9236,"[0.15058552 0.15058552 0.15058552 0.15058552 0.15058552 0.15058552
 0.15058552 0.15058552]",0.2140861556568088,5516.42,"[0.17652144 0.24967005 0.17416431 0.06304947 0.28585123 0.30373534
 0.19447052 0.12683178]"
9,highExpression,123,0.1748131421327882,2918.3904,"[0.16068724 0.16068724 0.16068724 0.16068724 0.16068724 0.16068724
 0.16068724 0.16068724]",0.13124528957176032,3419.13,"[0.0693412  0.18825808 0.11177612 0.10890087 0.09696492 0.16115248
 0.06909123 0.15963447]"
10,highExpression,123,0.16365826171450787,2817.3428,"[0.15512353 0.15512353 0.15512353 0.15512353 0.15512353 0.15512353
 0.15512353 0.11760519]",0.16572942797026682,4450.74,"[0.15287913 0.06478827 0.13874627 0.24505876 0.24130585 0.20021165
 0.12779809 0.04791231]"
11,highExpression,123,0.10054988305272455,1695.2281,"[0.09333965 0.0922942  0.0922942  0.0922942  0.0922942  0.0922942
 0.0922942  0.0922942 ]",0.10295920917398242,2248.29,"[0.07367554 0.12000377 0.12027301 0.09032355 0.06168618 0.07506471
 0.09229801 0.12379136]"
12,highExpression,123,0.10488485515500554,1754.6484,"[0.09661134 0.09661134 0.09661134 0.09661134 0.09620777 0.09620777
 0.09620777 0.09620777]",0.27613427351614106,8563.74,"[0.42051258 0.47152147 0.33564605 0.18364954 0.11360026 0.14612984
 0.17686832 0.18264028]"
13,highExpression,123,0.18562312650784624,3116.6272,"[0.1716022  0.1716022  0.1716022  0.1716022  0.1716022  0.1716022
 0.16768825 0.16768825]",0.36865394275497654,8796.24,"[0.4714097  0.42407332 0.23600686 0.48432298 0.14211155 0.34659973
 0.432829   0.1735636 ]"
14,highExpression,123,0.2518877704756199,5506.634,"[0.30319651 0.30319651 0.30319651 0.30319651 0.30319651 0.15480959
 0.09073909 0.09073909]",0.2786311523988188,8015.31,"[0.44132479 0.36512089 0.26004009 0.29804487 0.36183654 0.19038781
 0.06369312 0.06848116]"
15,highExpression,123,0.07697227389038455,1349.5037,"[0.07430398 0.07430398 0.07430398 0.07430398 0.07430398 0.06561791
 0.06450782 0.06437417]",0.07392796613367572,1928.67,"[0.06035152 0.05399481 0.10619301 0.07036862 0.0705349  0.04582332
 0.08852859 0.04783853]"
16,highExpression,123,0.06885387964639458,1168.2305,"[0.06432304 0.06432304 0.06432304 0.06432304 0.06432304 0.06156851
 0.06156851 0.06156851]",0.06599833344734403,1228.14,"[0.05833741 0.06181887 0.06149181 0.05838917 0.05378613 0.06762167
 0.06144171 0.06243555]"
17,highExpression,123,0.06711887735162385,1149.0483,"[0.06326686 0.06326686 0.06326686 0.06326686 0.06012371 0.06012371
 0.06012371 0.06012371]",0.06408870442452898,1144.73,"[0.0610238  0.06201158 0.06037519 0.0531568  0.05511198 0.05899428
 0.05757703 0.06302909]"
18,highExpression,123,0.06313420491739433,1070.9473,"[0.0589666  0.0589666  0.05888846 0.05853065 0.05722712 0.05722712
 0.05722712 0.05722712]",0.0640250601071908,1649.83,"[0.06213987 0.05551668 0.09084002 0.07389193 0.04941435 0.04137611
 0.05189537 0.04573743]"
19,highExpression,123,0.0631077863835544,1159.3247,"[0.06383268 0.06270953 0.0621536  0.06084295 0.05416064 0.0534557
 0.0534557  0.0534557 ]",0.053696036657209976,1188.83,"[0.06545725 0.04240188 0.06468476 0.05019841 0.04041586 0.04624509
 0.04153964 0.04391384]"
20,highExpression,123,0.059411977547261983,1035.7682,"[0.05702963 0.05632567 0.05537653 0.05466955 0.05380878 0.05322635
 0.05322635 0.05322635]",0.06010501941316406,1149.23,"[0.04885769 0.05565543 0.06327687 0.0549413  0.05688933 0.06201654
 0.04998753 0.05036084]"
