round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,highExpression,456,8,326,4664.763877529213,-0.7346515429016831,0.7544343805245719,2.5026295665567893e-10,0.5039790613886777,0.00019046087693110563
2,highExpression,456,16,318,3396.5508889317944,0.0803360400156089,0.7068176548954349,9.665643697451421e-09,0.4949518547164664,0.00025816333681325426
3,highExpression,456,24,310,3248.588218990856,0.15871674262358537,0.6853671881659851,3.99737176437233e-08,0.5012024610029576,0.00020932715703419675
4,highExpression,456,32,302,3241.6126513916925,0.16232577357021927,0.6839059554830269,4.384137946231553e-08,0.4986055268073302,0.00022849395448812926
5,highExpression,456,40,294,3143.755683744148,0.21213738873107058,0.6486883472852117,3.497147480027692e-07,0.47771396486155093,0.0004510099247779406
6,highExpression,456,48,286,2454.4095818128935,0.5197725383578684,0.7377981471368446,9.803063340048432e-10,0.49820840837305796,0.0002315614979316403
7,highExpression,456,56,278,2344.424666317279,0.5618473122795038,0.756219020045724,2.1478747344825504e-10,0.5160312075086483,0.00012520311136685928
8,highExpression,456,64,270,2320.698500634546,0.5706708671163802,0.7598881163296146,1.5621727507552166e-10,0.4763201541805319,0.00047122184165461375
9,highExpression,456,72,262,2370.435143299508,0.5520711136590954,0.754051674511423,2.5855915798517685e-10,0.38095811345367936,0.006344828201284191
10,highExpression,456,80,254,2365.6673919492023,0.5538711762645572,0.7575316187990705,1.9178707274528496e-10,0.35294224006095243,0.011935705105565504
11,highExpression,456,88,246,2406.191842909673,0.5384556739964559,0.7680413308681958,7.542154689166235e-11,0.3639175306684124,0.00937819848566088
12,highExpression,456,96,238,2417.752873314057,0.5340098549577436,0.7683916093291632,7.305049008452331e-11,0.35544537651528535,0.011305002324624475
13,highExpression,456,104,230,2422.9213304325945,0.5320154208746384,0.7723655258309848,5.0644358724947636e-11,0.3878260792833707,0.005388981684073969
14,highExpression,456,112,222,2463.3558334114236,0.5162653278617901,0.7724490957971821,5.025175685297726e-11,0.31722440834720084,0.024787031709564717
15,highExpression,456,120,214,2500.9741468550096,0.501378132822003,0.7677885984411608,7.717730088205314e-11,0.313684272408221,0.026534310322158288
16,highExpression,456,128,206,2504.5958683031513,0.4999329542903428,0.7671263786290071,8.196290629329537e-11,0.3353474720729538,0.0172808285057418
17,highExpression,456,136,198,2504.3463341216375,0.5000325932032661,0.7669597568499523,8.321045617079886e-11,0.3452402817399278,0.014069241273468126
18,highExpression,456,144,190,2499.6576103138445,0.5019029532224087,0.7665705320855157,8.619501826326576e-11,0.3630510603572971,0.009561269564973982
19,highExpression,456,152,182,2500.9822908225374,0.5013748854738356,0.7668240867176442,8.423949924027083e-11,0.3662713725890378,0.008896074408283798
20,highExpression,456,160,174,2502.417209145278,0.5008025570988002,0.7662869980973777,8.843255501471552e-11,0.3704373827158089,0.008095179183822302
