round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
1,log_likelihood,42,0.08028179301612338,1524.676,"[0.06668315 0.06916639 0.06863093 0.06900797 0.06891079 0.08377875
 0.08022949 0.08394901]",0.16372672849280315,6438.58,"[0.09073926 0.04573743 0.06344975 0.05100559 0.06762167 0.28585123
 0.24505876 0.35450968]"
2,log_likelihood,42,0.17081707748274838,5885.9175,"[0.32407996 0.23680014 0.12324265 0.12198636 0.11547665 0.12229155
 0.12197113 0.09026411]",0.06823823903931046,2926.84,"[0.16115248 0.04970452 0.05869475 0.0374861  0.03974137 0.0599727
 0.04142401 0.05361765]"
3,log_likelihood,42,0.08089012856590126,1975.2876,"[0.0425746  0.10234732 0.0428982  0.040124   0.04189638 0.10875978
 0.10795152 0.10827814]",0.23356805557236104,8796.24,"[0.04648405 0.432829   0.04721139 0.04075999 0.04056948 0.42051258
 0.48432298 0.20486589]"
4,log_likelihood,42,0.20566595339138707,6635.638,"[0.36535975 0.35101495 0.053377   0.07702157 0.21029914 0.05326221
 0.21029914 0.191742  ]",0.2104248103938448,14566.41,"[0.12379136 0.06432301 0.06126717 0.05915781 0.80202985 0.07466607
 0.28266599 0.07946898]"
5,log_likelihood,42,0.23968283194202866,7839.8613,"[0.43166455 0.06105543 0.43166455 0.07865647 0.16912812 0.07933011
 0.07935686 0.43166455]",0.3586316849145657,17792.84,"[0.5709195  0.05558936 0.97967782 0.07244384 0.06827468 0.06310122
 0.04839794 0.77881315]"
6,log_likelihood,42,0.6571712734881975,10971.042,"[0.60406807 0.60406807 0.60406807 0.60406807 0.60406807 0.60406807
 0.60406807 0.60406807]",0.6904701604891047,18161.93,"[0.93845588 0.70853098 0.28774475 0.87984592 0.59786983 0.1233239
 1.         0.54163847]"
7,log_likelihood,42,0.5793469086524945,11288.697,"[0.62155824 0.62155824 0.62155824 0.2450585  0.62155824 0.62155824
 0.62155824 0.28585098]",0.5210368578767586,16415.85,"[0.23294606 0.13665012 0.84615402 0.13874627 0.90386044 0.5681753
 0.81047003 0.19447052]"
8,log_likelihood,42,0.38880986172965076,11078.853,"[0.09073893 0.19190266 0.61000414 0.04573732 0.61000414 0.61000414
 0.09073893 0.61000414]",0.3394948120746539,14916.64,"[0.06369312 0.20021165 0.23770491 0.04941435 0.48554807 0.57012663
 0.06848116 0.82131359]"
9,log_likelihood,42,0.3055363909464806,10832.655,"[0.59644847 0.2401597  0.59644847 0.59644847 0.05100574 0.07430436
 0.04438662 0.04757645]",0.22593934819353773,16893.76,"[0.11300891 0.24967005 0.13495867 0.93017427 0.04391384 0.10619301
 0.0409114  0.04262708]"
10,log_likelihood,42,0.32443041742825207,10421.523,"[0.16115231 0.57381145 0.35450947 0.57381145 0.35450947 0.25476857
 0.04970478 0.06344906]",0.19261960129964995,5689.94,"[0.10890087 0.31328939 0.21187231 0.26836025 0.30692773 0.10600801
 0.04993522 0.05114489]"
11,log_likelihood,42,0.2754810932912181,10067.07,"[0.13502619 0.55429518 0.0435178  0.24333045 0.55429518 0.19467275
 0.24333045 0.05729718]",0.22857646920136176,12773.58,"[0.15963447 0.70331622 0.04450518 0.30373534 0.10332217 0.12779809
 0.17652144 0.06201654]"
12,log_likelihood,42,0.4057144475767599,9890.16,"[0.54455447 0.04981955 0.0676218  0.54455447 0.54455447 0.14322937
 0.54455447 0.54455447]",0.2274447983634216,11905.41,"[0.16878162 0.05828455 0.0610238  0.06519296 0.65551458 0.18825808
 0.10336016 0.37211188]"
13,log_likelihood,42,0.2545283661823869,9205.149,"[0.50683762 0.08227651 0.06432309 0.04592659 0.05264098 0.10600798
 0.50683762 0.50683762]",0.28857261939404383,15947.53,"[0.18968579 0.06035152 0.06037519 0.05071322 0.05657659 0.10431766
 0.72193979 0.87807463]"
