round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,log_likelihood,999,8,326,3962.245790235224,-0.9770989270259784,0.7195714390028215,3.908820998444952e-09,0.5533189575991591,3.078774643951618e-05
2,log_likelihood,999,16,318,3787.41666237363,-0.8064741280130736,0.7436377658909624,6.14292729666971e-10,0.6215211986323889,1.4583513826994473e-06
3,log_likelihood,999,24,310,3744.5837365206653,-0.7658453602376374,0.7490814205133547,3.9282616951898323e-10,0.6687698725496221,1.1072566512464049e-07
4,log_likelihood,999,32,302,3748.678810775227,-0.769709726712619,0.7528321357061406,2.867625903782252e-10,0.7386731073655439,9.147218897407636e-10
5,log_likelihood,999,40,294,3412.6729593879436,-0.46667847295719,0.7589921144763112,1.6893612670647176e-10,0.712664942697225,6.420654386540471e-09
6,log_likelihood,999,48,286,2908.147949701879,-0.06507102353840044,0.7647050495287865,1.019591804356534e-10,0.731068340898889,1.6549057747215798e-09
7,log_likelihood,999,56,278,2706.3694001001777,0.07759908751414968,0.7664235180559468,8.734842615428445e-11,0.728362514094612,2.0338235241693446e-09
8,log_likelihood,999,64,270,2713.2624182229415,0.07289446503602548,0.7672526671049111,8.10291478526251e-11,0.7280184995771071,2.0874747063885817e-09
9,log_likelihood,999,72,262,2519.295799905359,0.20071088183313335,0.766894225249553,8.370601329610091e-11,0.7402560087581238,8.064570274099515e-10
10,log_likelihood,999,80,254,2438.0329787256487,0.2514432567965016,0.7674963705844137,7.925559891958277e-11,0.7407908904322075,7.726911431837825e-10
11,log_likelihood,999,88,246,2338.751651222984,0.3111672464293983,0.7776663377146015,3.071046216184267e-11,0.7280739203493455,2.078742329263221e-09
12,log_likelihood,999,96,238,2318.154258653007,0.32324692240169206,0.7856166834822417,1.4129017972362665e-11,0.8236068695224006,2.075952494695909e-13
13,log_likelihood,999,104,230,2122.841166713244,0.43248077625647496,0.7927673993101367,6.830985986256266e-12,0.8278406844325165,1.219156021400154e-13
14,log_likelihood,999,112,222,2059.781161888911,0.465696844669085,0.7938236064447003,6.1209609782900596e-12,0.8314947185414191,7.611335881807739e-14
15,log_likelihood,999,120,214,2117.789217786274,0.43517873278217223,0.7917628146192064,7.578156379408311e-12,0.8346550508041158,5.018021534833549e-14
16,log_likelihood,999,128,206,2060.9848648742063,0.4650721858596568,0.7892805994090618,9.770227611369597e-12,0.8254718767152257,1.6449576235875958e-13
17,log_likelihood,999,136,198,2059.1490818461707,0.46602471497830533,0.7894437451823335,9.609431634072299e-12,0.8307813443154616,8.351907386728608e-14
18,log_likelihood,999,144,190,2073.097009058978,0.4587663061691353,0.7840145228050474,1.656507189771122e-11,0.8322084510742707,6.933101935903426e-14
19,log_likelihood,999,152,182,2072.6242424063894,0.4590131330801508,0.7838533749110488,1.6830978685223967e-11,0.8342621339653987,5.2872844942484093e-14
20,log_likelihood,999,160,174,2079.9672466010484,0.45517306821039016,0.7842724523063347,1.6147728666122512e-11,0.8328541857850161,6.369309255625126e-14
