round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
1,random,42,0.13008369069555126,3819.4395,"[0.0870089  0.04256028 0.21029921 0.21029921 0.21029921 0.04671474
 0.06916639 0.08022949]",0.269645623050013,17044.17,"[0.07367554 0.05553319 0.57012663 0.93845588 0.18968579 0.03987517
 0.05071322 0.06478827]"
2,random,42,0.07655008188225165,2306.1792,"[0.05273069 0.05340925 0.09668745 0.04438707 0.10530258 0.04329556
 0.12697875 0.0401238 ]",0.07698596326827378,3720.76,"[0.0481799  0.06240031 0.06909123 0.04434826 0.20486589 0.05273338
 0.04001282 0.04448866]"
3,random,42,0.16458850413773424,8665.8125,"[0.06909133 0.47714161 0.06909133 0.20417454 0.08353375 0.08261491
 0.16912986 0.05553311]",0.18179070789372836,6822.8,"[0.15963447 0.28266599 0.0693412  0.37566492 0.04201426 0.04144438
 0.31955855 0.04648405]"
4,random,42,0.08903622095718869,5803.793,"[0.05618552 0.05346677 0.02775635 0.04729446 0.04644061 0.0481799
 0.31955816 0.0558509 ]",0.07139005538523173,3152.25,"[0.04741126 0.07466607 0.04783908 0.03946882 0.04372938 0.05558936
 0.1735636  0.04270306]"
5,random,42,0.07256699616870944,1819.072,"[0.04577342 0.06990774 0.04604631 0.04502983 0.07466639 0.10015852
 0.05188462 0.10015852]",0.0587547116262504,1414.89,"[0.05842771 0.04783853 0.06011421 0.04060472 0.07790417 0.05423322
 0.04490051 0.04803289]"
6,random,42,0.2544879450212833,7959.4023,"[0.4382465  0.37566472 0.04929225 0.15592806 0.04962369 0.08675025
 0.4382465  0.27763886]",0.1380332929563801,5689.94,"[0.23294606 0.18364954 0.04043017 0.05155454 0.04961973 0.06848116
 0.31328939 0.07506471]"
7,random,42,0.13438737442077683,5079.118,"[0.20486605 0.05297094 0.09985925 0.2796574  0.04570701 0.21737932
 0.04588853 0.04189633]",0.1211066749441218,5956.45,"[0.14816542 0.0456686  0.17642563 0.32796349 0.04511745 0.06149181
 0.04219155 0.04354053]"
8,random,42,0.08632235823988303,4478.026,"[0.05160702 0.06848112 0.04043021 0.07628521 0.05839188 0.24656112
 0.05071321 0.04230631]",0.10102449680256942,5413.07,"[0.05470509 0.09073926 0.05114489 0.06362264 0.10249627 0.29804487
 0.04137611 0.04075999]"
9,random,42,0.15057425067183694,7102.5386,"[0.39106739 0.06239956 0.15649974 0.13375268 0.17651552 0.06239956
 0.04955668 0.07506475]",0.21016139779573226,12773.58,"[0.70331622 0.05129466 0.42407332 0.06302909 0.07128648 0.06655075
 0.04560969 0.12027301]"
10,random,42,0.12067429077823943,7811.408,"[0.04856972 0.05667698 0.43009791 0.14143924 0.06271271 0.04604471
 0.04578777 0.05605592]",0.0827694346982948,3065.4,"[0.05587567 0.05388524 0.16878162 0.11360026 0.04728297 0.04941435
 0.04591748 0.07389193]"
