round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
1,random,789,0.1453128457383945,3692.6104,"[0.20302315 0.05942907 0.1405256  0.20331597 0.14595886 0.11155095
 0.05906931 0.14569307]",0.13123892514002652,6058.3,"[0.32796349 0.04986309 0.04542854 0.33357138 0.0487239  0.05915781
 0.05587567 0.04448866]"
2,random,789,0.1365916584989169,5188.6055,"[0.13434244 0.05874375 0.16033736 0.2856858  0.08915678 0.16139802
 0.05874375 0.05602626]",0.07052898520947996,2248.29,"[0.05657659 0.04683643 0.05880653 0.12379136 0.04182981 0.06310122
 0.08603931 0.04165747]"
3,random,789,0.12294806883523773,5956.4507,"[0.14650752 0.04872374 0.12122989 0.04182943 0.06376274 0.05209677
 0.32796353 0.10199163]",0.0978973145512414,7637.32,"[0.03946882 0.04468798 0.03556395 0.0412291  0.0374861  0.06037519
 0.42051258 0.04056948]"
4,random,789,0.10610093397633238,6828.3203,"[0.12379144 0.0558755  0.05915766 0.03002127 0.06037524 0.37596887
 0.04789159 0.02713742]",0.18700924241278877,15367.79,"[0.09229801 0.05558936 0.06012412 0.04329991 0.06762167 0.84615402
 0.04894304 0.16115248]"
5,random,789,0.2325646859455063,9674.809,"[0.37423851 0.53269716 0.03722962 0.04448889 0.0309177  0.10804484
 0.53269716 0.04986321]",0.19089461567278307,8818.49,"[0.37566492 0.19865345 0.0599727  0.04421612 0.05842771 0.12000377
 0.48554807 0.06126717]"
6,random,789,0.054407127799973726,1332.4716,"[0.04968687 0.03582298 0.05573249 0.04165767 0.051145   0.07336619
 0.051145   0.04152957]",0.05407228688617977,1126.34,"[0.03974137 0.03798605 0.05640535 0.05207762 0.06201654 0.05019841
 0.06053376 0.03866439]"
7,random,789,0.18335050375899814,8290.171,"[0.0621901  0.05938071 0.06101804 0.04480809 0.4564587  0.08642375
 0.4564587  0.12153979]",0.11674164815840003,5689.94,"[0.04151706 0.04207813 0.04153964 0.04519894 0.28451437 0.04450518
 0.31328939 0.04582332]"
8,random,789,0.07035667231504993,2937.5198,"[0.04862596 0.05110035 0.04670597 0.05218577 0.06399837 0.04523135
 0.16174051 0.04778335]",0.05827138919281755,1321.61,"[0.06827468 0.04270306 0.04372938 0.04137611 0.06243555 0.03790676
 0.07276815 0.05930812]"
9,random,789,0.18033430128602856,7472.591,"[0.41144255 0.05789839 0.41144255 0.04542847 0.11203116 0.20486603
 0.04056936 0.04241953]",0.14389613259390518,7884.53,"[0.43412402 0.04043017 0.13495867 0.04783908 0.12027301 0.17686832
 0.04354053 0.06011421]"
10,random,789,0.08758253619699419,2926.8389,"[ 0.10688726  0.07036864  0.06047228 -0.00175398  0.03206549  0.10796352
  0.10688726  0.16115241]",0.17772121536745805,6676.65,"[0.19447052 0.06848116 0.04961973 0.24505876 0.04783578 0.36761787
 0.17416431 0.15963447]"
