round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,random,999,8,326,3962.245790235224,-0.9770989270259784,0.7195714390028215,3.908820998444952e-09,0.5533189575991591,3.078774643951618e-05
2,random,999,16,318,1984.1039230373992,0.5042366626262182,0.7103854533956643,7.539628404972e-09,0.6808836803797296,5.2980841581570455e-08
3,random,999,24,310,1928.6030575064635,0.5315844790656381,0.7356157022596554,1.163750365094592e-09,0.8170989225311953,4.579663832191125e-13
4,random,999,32,302,1949.4957749471985,0.5213807391883409,0.7599794993016492,1.5497220464657903e-10,0.8081554030410687,1.2927331866382455e-12
5,random,999,40,294,1864.9153546232612,0.5620103736488531,0.7815863811619309,2.102738740196122e-11,0.8305159472192263,8.644503032198958e-14
6,random,999,48,286,2095.331505225662,0.44709430759212465,0.7817908103616726,2.0611728533823593e-11,0.7904534612732219,8.668665171681683e-12
7,random,999,56,278,2275.983434516642,0.3476453406020332,0.7784161251658982,2.858114188903973e-11,0.746706204855015,4.781072946623612e-10
8,random,999,64,270,2277.3379060569837,0.34686865767239783,0.7777643218987613,3.042390846809938e-11,0.76203959138966,1.2927077363434766e-10
9,random,999,72,262,2277.5504064620563,0.34674676346444466,0.7778870387518518,3.006859227818927e-11,0.7647050076820643,1.0195956282873568e-10
10,random,999,80,254,2278.784199255299,0.3460388121143445,0.777179885860087,3.217130058020195e-11,0.7963634863151404,4.6888280183505624e-12
11,random,999,88,246,1782.1482240104322,0.6000246571033603,0.790615066904129,8.526445713594067e-12,0.797316528391594,4.238465616017781e-12
12,random,999,96,238,1933.6920945380464,0.5291091858858323,0.7849736660998089,1.5062866619278098e-11,0.7891540066060047,9.896749455860438e-12
13,random,999,104,230,1940.0108336254368,0.5260266913892047,0.7845553565283767,1.5701429277656927e-11,0.7972779614898043,4.2558653971191556e-12
14,random,999,112,222,1948.1653898752597,0.5220337599965812,0.7796127458308271,2.546974129036386e-11,0.8370258166127172,3.6500410171083e-14
15,random,999,120,214,1872.6422393808546,0.5583734188480253,0.7822352931045791,1.9734658536377672e-11,0.8534184444320363,3.4832030258102356e-15
16,random,999,128,206,1954.8814679686554,0.5187326113712012,0.7795656444260117,2.558589786761962e-11,0.8541198131360138,3.130344299395229e-15
17,random,999,136,198,1954.5771046360942,0.5188824606031015,0.7796808875891977,2.5302580135272302e-11,0.8524282468206568,4.046317839202874e-15
18,random,999,144,190,2031.326705522959,0.4803569401257436,0.7774872325848474,3.1240865824556184e-11,0.8508540393235078,5.123383440613791e-15
19,random,999,152,182,2022.5100374081771,0.48485801588519806,0.7850019999210008,1.502051549139652e-11,0.8408178768333825,2.1704362082345197e-14
20,random,999,160,174,2036.876402175374,0.47751367441554937,0.7909506573711745,8.23814155063021e-12,0.8472981045123231,8.646178787020633e-15
